City,Post,Cleaned_Post,Traffic_Location,Traffic_Cause,Alert_Message,Tokens,Topic
Mumbai,Peak hour traffic near Andheri. Plan accordingly.,peak hour traffic near andheri plan accordingly,Andheri,other,Traffic alert in Mumbai near Andheri. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'andheri', 'plan', 'accordingly']",0
Hyderabad,Vehicle breakdown near Gachibowli causing congestion.,vehicle breakdown near gachibowli causing congestion,Gachibowli,vehicle_breakdown,Traffic alert in Hyderabad near Gachibowli. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'gachibowli', 'causing', 'congestion']",0
Mumbai,"Police checkpoint near Bandra, causing minor delays.",police checkpoint near bandra causing minor delays,Bandra,checkpoint,Traffic alert in Mumbai near Bandra. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'bandra', 'causing', 'minor', 'delays']",2
Mumbai,"Road construction near Bandra, causing slow traffic.",road construction near bandra causing slow traffic,Bandra,road_construction,Traffic alert in Mumbai near Bandra. Cause: road_construction.,"['road', 'construction', 'near', 'bandra', 'causing', 'slow', 'traffic']",1
Hyderabad,"Traffic moving smoothly near Gachibowli, all clear!",traffic moving smoothly near gachibowli clear,Gachibowli,other,Traffic alert in Hyderabad near Gachibowli. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'gachibowli', 'clear']",2
Bangalore,Peak hour traffic near Kasavanahalli. Plan accordingly.,peak hour traffic near kasavanahalli plan accordingly,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'kasavanahalli', 'plan', 'accordingly']",0
Delhi,"Road construction near Connaught Place, causing slow traffic.",road construction near connaught place causing slow traffic,,road_construction,Traffic alert in Delhi near unknown location. Cause: road_construction.,"['road', 'construction', 'near', 'connaught', 'place', 'causing', 'slow', 'traffic']",1
Mumbai,"Traffic is heavy near Colaba, please take another route.",traffic heavy near colaba please take another route,Colaba,other,Traffic alert in Mumbai near Colaba. Cause: other.,"['traffic', 'heavy', 'near', 'colaba', 'please', 'take', 'another', 'route']",1
Delhi,Accident reported near Connaught Place. Expect delays.,accident reported near connaught place expect delays,,accident,Traffic alert in Delhi near unknown location. Cause: accident.,"['accident', 'reported', 'near', 'connaught', 'place', 'expect', 'delays']",2
Delhi,"Traffic moving smoothly near Saket, all clear!",traffic moving smoothly near saket clear,Saket,other,Traffic alert in Delhi near Saket. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'saket', 'clear']",2
Mumbai,"Avoid Andheri if possible, traffic jam reported.",avoid andheri possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['avoid', 'andheri', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,"Road construction near Marathahalli, causing slow traffic.",road construction near marathahalli causing slow traffic,Marathahalli,road_construction,Traffic alert in Bangalore near Marathahalli. Cause: road_construction.,"['road', 'construction', 'near', 'marathahalli', 'causing', 'slow', 'traffic']",1
Delhi,Vehicle breakdown near Saket causing congestion.,vehicle breakdown near saket causing congestion,Saket,vehicle_breakdown,Traffic alert in Delhi near Saket. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'saket', 'causing', 'congestion']",0
Delhi,Saket route is experiencing high traffic volume.,saket route experiencing high traffic volume,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['saket', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Delhi,Accident reported near Dwarka. Expect delays.,accident reported near dwarka expect delays,Dwarka,accident,Traffic alert in Delhi near Dwarka. Cause: accident.,"['accident', 'reported', 'near', 'dwarka', 'expect', 'delays']",2
Mumbai,Rain causing waterlogging near Powai. Drive carefully!,rain causing waterlogging near powai drive carefully,Powai,rain,Traffic alert in Mumbai near Powai. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'powai', 'drive', 'carefully']",0
Mumbai,Rain causing waterlogging near Andheri. Drive carefully!,rain causing waterlogging near andheri drive carefully,Andheri,rain,Traffic alert in Mumbai near Andheri. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'andheri', 'drive', 'carefully']",0
Delhi,Rain causing waterlogging near Connaught Place. Drive carefully!,rain causing waterlogging near connaught place drive carefully,,rain,Traffic alert in Delhi near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'connaught', 'place', 'drive', 'carefully']",0
Hyderabad,Vehicle breakdown near Secunderabad causing congestion.,vehicle breakdown near secunderabad causing congestion,Secunderabad,vehicle_breakdown,Traffic alert in Hyderabad near Secunderabad. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'secunderabad', 'causing', 'congestion']",0
Bangalore,"Avoid Indiranagar if possible, traffic jam reported.",avoid indiranagar possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['avoid', 'indiranagar', 'possible', 'traffic', 'jam', 'reported']",2
Mumbai,"Traffic moving smoothly near Colaba, all clear!",traffic moving smoothly near colaba clear,Colaba,other,Traffic alert in Mumbai near Colaba. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'colaba', 'clear']",2
Mumbai,"Traffic moving smoothly near Bandra, all clear!",traffic moving smoothly near bandra clear,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'bandra', 'clear']",2
Hyderabad,Gachibowli route is experiencing high traffic volume.,gachibowli route experiencing high traffic volume,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['gachibowli', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,Vehicle breakdown near Electronic City causing congestion.,vehicle breakdown near electronic city causing congestion,Electronic City,vehicle_breakdown,Traffic alert in Bangalore near Electronic City. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'electronic', 'city', 'causing', 'congestion']",0
Mumbai,Accident reported near Bandra. Expect delays.,accident reported near bandra expect delays,Bandra,accident,Traffic alert in Mumbai near Bandra. Cause: accident.,"['accident', 'reported', 'near', 'bandra', 'expect', 'delays']",2
Bangalore,Rain causing waterlogging near Koramangala. Drive carefully!,rain causing waterlogging near koramangala drive carefully,Koramangala,rain,Traffic alert in Bangalore near Koramangala. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'koramangala', 'drive', 'carefully']",0
Bangalore,"Traffic moving smoothly near Koramangala, all clear!",traffic moving smoothly near koramangala clear,Koramangala,other,Traffic alert in Bangalore near Koramangala. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'koramangala', 'clear']",2
Bangalore,Peak hour traffic near Indiranagar. Plan accordingly.,peak hour traffic near indiranagar plan accordingly,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'indiranagar', 'plan', 'accordingly']",0
Delhi,"Road construction near Karol Bagh, causing slow traffic.",road construction near karol bagh causing slow traffic,,road_construction,Traffic alert in Delhi near unknown location. Cause: road_construction.,"['road', 'construction', 'near', 'karol', 'bagh', 'causing', 'slow', 'traffic']",1
Delhi,"Traffic is heavy near Connaught Place, please take another route.",traffic heavy near connaught place please take another route,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['traffic', 'heavy', 'near', 'connaught', 'place', 'please', 'take', 'another', 'route']",1
Hyderabad,"Traffic is heavy near Hitech City, please take another route.",traffic heavy near hitech city please take another route,Hitech City,other,Traffic alert in Hyderabad near Hitech City. Cause: other.,"['traffic', 'heavy', 'near', 'hitech', 'city', 'please', 'take', 'another', 'route']",1
Mumbai,Accident reported near Andheri. Expect delays.,accident reported near andheri expect delays,Andheri,accident,Traffic alert in Mumbai near Andheri. Cause: accident.,"['accident', 'reported', 'near', 'andheri', 'expect', 'delays']",2
Bangalore,Rain causing waterlogging near Kasavanahalli. Drive carefully!,rain causing waterlogging near kasavanahalli drive carefully,,rain,Traffic alert in Bangalore near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'kasavanahalli', 'drive', 'carefully']",0
Hyderabad,Banjara Hills route is experiencing high traffic volume.,banjara hills route experiencing high traffic volume,Banjara Hills,other,Traffic alert in Hyderabad near Banjara Hills. Cause: other.,"['banjara', 'hills', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Hyderabad,"Police checkpoint near Gachibowli, causing minor delays.",police checkpoint near gachibowli causing minor delays,Gachibowli,checkpoint,Traffic alert in Hyderabad near Gachibowli. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'gachibowli', 'causing', 'minor', 'delays']",2
Mumbai,"Traffic is heavy near Dadar, please take another route.",traffic heavy near dadar please take another route,Dadar,other,Traffic alert in Mumbai near Dadar. Cause: other.,"['traffic', 'heavy', 'near', 'dadar', 'please', 'take', 'another', 'route']",1
Hyderabad,Vehicle breakdown near Banjara Hills causing congestion.,vehicle breakdown near banjara hills causing congestion,Banjara Hills,vehicle_breakdown,Traffic alert in Hyderabad near Banjara Hills. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'banjara', 'hills', 'causing', 'congestion']",0
Delhi,Peak hour traffic near Saket. Plan accordingly.,peak hour traffic near saket plan accordingly,Saket,other,Traffic alert in Delhi near Saket. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'saket', 'plan', 'accordingly']",0
Delhi,Vehicle breakdown near Chandni Chowk causing congestion.,vehicle breakdown near chandni chowk causing congestion,,vehicle_breakdown,Traffic alert in Delhi near unknown location. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'chandni', 'chowk', 'causing', 'congestion']",0
Hyderabad,"Traffic moving smoothly near Banjara Hills, all clear!",traffic moving smoothly near banjara hills clear,Banjara Hills,other,Traffic alert in Hyderabad near Banjara Hills. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'banjara', 'hills', 'clear']",2
Delhi,"Traffic is heavy near Saket, please take another route.",traffic heavy near saket please take another route,Saket,other,Traffic alert in Delhi near Saket. Cause: other.,"['traffic', 'heavy', 'near', 'saket', 'please', 'take', 'another', 'route']",1
Mumbai,Rain causing waterlogging near Dadar. Drive carefully!,rain causing waterlogging near dadar drive carefully,,rain,Traffic alert in Mumbai near unknown location. Cause: rain.,"['rain', 'causing', 'waterlogging', 'near', 'dadar', 'drive', 'carefully']",0
Bangalore,Kasavanahalli route is experiencing high traffic volume.,kasavanahalli route experiencing high traffic volume,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['kasavanahalli', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Hyderabad,Hitech City route is experiencing high traffic volume.,hitech city route experiencing high traffic volume,Hitech City,other,Traffic alert in Hyderabad near Hitech City. Cause: other.,"['hitech', 'city', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,Vehicle breakdown near Indiranagar causing congestion.,vehicle breakdown near indiranagar causing congestion,,vehicle_breakdown,Traffic alert in Bangalore near unknown location. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'indiranagar', 'causing', 'congestion']",0
Delhi,"Avoid Dwarka if possible, traffic jam reported.",avoid dwarka possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['avoid', 'dwarka', 'possible', 'traffic', 'jam', 'reported']",2
Hyderabad,Accident reported near Secunderabad. Expect delays.,accident reported near secunderabad expect delays,Secunderabad,accident,Traffic alert in Hyderabad near Secunderabad. Cause: accident.,"['accident', 'reported', 'near', 'secunderabad', 'expect', 'delays']",2
Hyderabad,"Police checkpoint near Hitech City, causing minor delays.",police checkpoint near hitech city causing minor delays,Hitech City,checkpoint,Traffic alert in Hyderabad near Hitech City. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'hitech', 'city', 'causing', 'minor', 'delays']",2
Mumbai,"Police checkpoint near Colaba, causing minor delays.",police checkpoint near colaba causing minor delays,Colaba,checkpoint,Traffic alert in Mumbai near Colaba. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'colaba', 'causing', 'minor', 'delays']",2
Bangalore,Accident reported near Kasavanahalli. Expect delays.,accident reported near kasavanahalli expect delays,Kasavanahalli,accident,Traffic alert in Bangalore near Kasavanahalli. Cause: accident.,"['accident', 'reported', 'near', 'kasavanahalli', 'expect', 'delays']",2
Hyderabad,"Traffic is heavy near Banjara Hills, please take another route.",traffic heavy near banjara hills please take another route,Banjara Hills,other,Traffic alert in Hyderabad near Banjara Hills. Cause: other.,"['traffic', 'heavy', 'near', 'banjara', 'hills', 'please', 'take', 'another', 'route']",1
Hyderabad,"Avoid Gachibowli if possible, traffic jam reported.",avoid gachibowli possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['avoid', 'gachibowli', 'possible', 'traffic', 'jam', 'reported']",2
Mumbai,Vehicle breakdown near Powai causing congestion.,vehicle breakdown near powai causing congestion,Powai,vehicle_breakdown,Traffic alert in Mumbai near Powai. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'powai', 'causing', 'congestion']",0
Bangalore,Vehicle breakdown near Marathahalli causing congestion.,vehicle breakdown near marathahalli causing congestion,Marathahalli,vehicle_breakdown,Traffic alert in Bangalore near Marathahalli. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'marathahalli', 'causing', 'congestion']",0
Mumbai,"Police checkpoint near Andheri, causing minor delays.",police checkpoint near andheri causing minor delays,Andheri,checkpoint,Traffic alert in Mumbai near Andheri. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'andheri', 'causing', 'minor', 'delays']",2
Delhi,"Police checkpoint near Dwarka, causing minor delays.",police checkpoint near dwarka causing minor delays,Dwarka,checkpoint,Traffic alert in Delhi near Dwarka. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'dwarka', 'causing', 'minor', 'delays']",2
Hyderabad,Vehicle breakdown near Hitech City causing congestion.,vehicle breakdown near hitech city causing congestion,Hitech City,vehicle_breakdown,Traffic alert in Hyderabad near Hitech City. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'hitech', 'city', 'causing', 'congestion']",0
Hyderabad,Accident reported near Jubilee Hills. Expect delays.,accident reported near jubilee hills expect delays,Jubilee Hills,accident,Traffic alert in Hyderabad near Jubilee Hills. Cause: accident.,"['accident', 'reported', 'near', 'jubilee', 'hills', 'expect', 'delays']",2
Delhi,Vehicle breakdown near Karol Bagh causing congestion.,vehicle breakdown near karol bagh causing congestion,,vehicle_breakdown,Traffic alert in Delhi near unknown location. Cause: vehicle_breakdown.,"['vehicle', 'breakdown', 'near', 'karol', 'bagh', 'causing', 'congestion']",0
Bangalore,"Avoid Marathahalli if possible, traffic jam reported.",avoid marathahalli possible traffic jam reported,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['avoid', 'marathahalli', 'possible', 'traffic', 'jam', 'reported']",2
Hyderabad,"Police checkpoint near Banjara Hills, causing minor delays.",police checkpoint near banjara hills causing minor delays,Banjara Hills,checkpoint,Traffic alert in Hyderabad near Banjara Hills. Cause: checkpoint.,"['police', 'checkpoint', 'near', 'banjara', 'hills', 'causing', 'minor', 'delays']",2
Mumbai,"Traffic is heavy near Andheri, please take another route.",traffic heavy near andheri please take another route,Andheri,other,Traffic alert in Mumbai near Andheri. Cause: other.,"['traffic', 'heavy', 'near', 'andheri', 'please', 'take', 'another', 'route']",1
Bangalore,Electronic City route is experiencing high traffic volume.,electronic city route experiencing high traffic volume,Electronic City,other,Traffic alert in Bangalore near Electronic City. Cause: other.,"['electronic', 'city', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Bangalore,Accident reported near Indiranagar. Expect delays.,accident reported near indiranagar expect delays,,accident,Traffic alert in Bangalore near unknown location. Cause: accident.,"['accident', 'reported', 'near', 'indiranagar', 'expect', 'delays']",2
Hyderabad,"Avoid Jubilee Hills if possible, traffic jam reported.",avoid jubilee hills possible traffic jam reported,,other,Traffic alert in Hyderabad near unknown location. Cause: other.,"['avoid', 'jubilee', 'hills', 'possible', 'traffic', 'jam', 'reported']",2
Bangalore,"Road construction near Electronic City, causing slow traffic.",road construction near electronic city causing slow traffic,Electronic City,road_construction,Traffic alert in Bangalore near Electronic City. Cause: road_construction.,"['road', 'construction', 'near', 'electronic', 'city', 'causing', 'slow', 'traffic']",1
Delhi,"Avoid Chandni Chowk if possible, traffic jam reported.",avoid chandni chowk possible traffic jam reported,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['avoid', 'chandni', 'chowk', 'possible', 'traffic', 'jam', 'reported']",2
Delhi,"Traffic is heavy near Karol Bagh, please take another route.",traffic heavy near karol bagh please take another route,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['traffic', 'heavy', 'near', 'karol', 'bagh', 'please', 'take', 'another', 'route']",1
Mumbai,Peak hour traffic near Colaba. Plan accordingly.,peak hour traffic near colaba plan accordingly,Colaba,other,Traffic alert in Mumbai near Colaba. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'colaba', 'plan', 'accordingly']",0
Bangalore,Accident reported near Marathahalli. Expect delays.,accident reported near marathahalli expect delays,Marathahalli,accident,Traffic alert in Bangalore near Marathahalli. Cause: accident.,"['accident', 'reported', 'near', 'marathahalli', 'expect', 'delays']",2
Hyderabad,Peak hour traffic near Banjara Hills. Plan accordingly.,peak hour traffic near banjara hills plan accordingly,Banjara Hills,other,Traffic alert in Hyderabad near Banjara Hills. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'banjara', 'hills', 'plan', 'accordingly']",0
Bangalore,Peak hour traffic near Electronic City. Plan accordingly.,peak hour traffic near electronic city plan accordingly,Electronic City,other,Traffic alert in Bangalore near Electronic City. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'electronic', 'city', 'plan', 'accordingly']",0
Mumbai,"Traffic is heavy near Bandra, please take another route.",traffic heavy near bandra please take another route,Bandra,other,Traffic alert in Mumbai near Bandra. Cause: other.,"['traffic', 'heavy', 'near', 'bandra', 'please', 'take', 'another', 'route']",1
Hyderabad,"Road construction near Secunderabad, causing slow traffic.",road construction near secunderabad causing slow traffic,Secunderabad,road_construction,Traffic alert in Hyderabad near Secunderabad. Cause: road_construction.,"['road', 'construction', 'near', 'secunderabad', 'causing', 'slow', 'traffic']",1
Mumbai,Dadar route is experiencing high traffic volume.,dadar route experiencing high traffic volume,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['dadar', 'route', 'experiencing', 'high', 'traffic', 'volume']",1
Delhi,"Traffic moving smoothly near Chandni Chowk, all clear!",traffic moving smoothly near chandni chowk clear,,other,Traffic alert in Delhi near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'chandni', 'chowk', 'clear']",2
Bangalore,"Traffic moving smoothly near Indiranagar, all clear!",traffic moving smoothly near indiranagar clear,,other,Traffic alert in Bangalore near unknown location. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'indiranagar', 'clear']",2
Delhi,"Road construction near Dwarka, causing slow traffic.",road construction near dwarka causing slow traffic,Dwarka,road_construction,Traffic alert in Delhi near Dwarka. Cause: road_construction.,"['road', 'construction', 'near', 'dwarka', 'causing', 'slow', 'traffic']",1
Delhi,Accident reported near Karol Bagh. Expect delays.,accident reported near karol bagh expect delays,,accident,Traffic alert in Delhi near unknown location. Cause: accident.,"['accident', 'reported', 'near', 'karol', 'bagh', 'expect', 'delays']",2
Delhi,Peak hour traffic near Dwarka. Plan accordingly.,peak hour traffic near dwarka plan accordingly,Dwarka,other,Traffic alert in Delhi near Dwarka. Cause: other.,"['peak', 'hour', 'traffic', 'near', 'dwarka', 'plan', 'accordingly']",0
Hyderabad,"Traffic is heavy near Gachibowli, please take another route.",traffic heavy near gachibowli please take another route,Gachibowli,other,Traffic alert in Hyderabad near Gachibowli. Cause: other.,"['traffic', 'heavy', 'near', 'gachibowli', 'please', 'take', 'another', 'route']",1
Mumbai,"Road construction near Powai, causing slow traffic.",road construction near powai causing slow traffic,Powai,road_construction,Traffic alert in Mumbai near Powai. Cause: road_construction.,"['road', 'construction', 'near', 'powai', 'causing', 'slow', 'traffic']",1
Mumbai,"Avoid Powai if possible, traffic jam reported.",avoid powai possible traffic jam reported,,other,Traffic alert in Mumbai near unknown location. Cause: other.,"['avoid', 'powai', 'possible', 'traffic', 'jam', 'reported']",2
Hyderabad,"Traffic moving smoothly near Hitech City, all clear!",traffic moving smoothly near hitech city clear,Hitech City,other,Traffic alert in Hyderabad near Hitech City. Cause: other.,"['traffic', 'moving', 'smoothly', 'near', 'hitech', 'city', 'clear']",2
Hyderabad,Accident reported near Gachibowli. Expect delays.,accident reported near gachibowli expect delays,Gachibowli,accident,Traffic alert in Hyderabad near Gachibowli. Cause: accident.,"['accident', 'reported', 'near', 'gachibowli', 'expect', 'delays']",2
Bangalore,"Road construction near Koramangala, causing slow traffic.",road construction near koramangala causing slow traffic,Koramangala,road_construction,Traffic alert in Bangalore near Koramangala. Cause: road_construction.,"['road', 'construction', 'near', 'koramangala', 'causing', 'slow', 'traffic']",1
Chennai,Heavy tourist rush during the weekend near Marina Beach.,heavy tourist rush weekend near marina beach,Marina Beach,other,Traffic alert in Chennai near Marina Beach. Cause: other.,"['heavy', 'tourist', 'rush', 'weekend', 'near', 'marina', 'beach']",1
Chennai,Religious festival causing traffic congestion at Kapaleeshwarar Temple.,religious festival causing traffic congestion kapaleeshwarar temple,,other,Traffic alert in Chennai near unknown location. Cause: other.,"['religious', 'festival', 'causing', 'traffic', 'congestion', 'kapaleeshwarar', 'temple']",1
Chennai,Event at Santhome Basilica leading to slow-moving traffic.,event santhome basilica leading slowmoving traffic,,other,Traffic alert in Chennai near unknown location. Cause: other.,"['event', 'santhome', 'basilica', 'leading', 'slowmoving', 'traffic']",1
Chennai,Road blockage due to animal crossing warning near Guindy National Park.,road blockage due animal crossing warning near guindy national park,,other,Traffic alert in Chennai near unknown location. Cause: other.,"['road', 'blockage', 'due', 'animal', 'crossing', 'warning', 'near', 'guindy', 'national', 'park']",0
Chennai,Construction work causing a bottleneck near Valluvar Kottam.,construction work causing bottleneck near valluvar kottam,,road_construction,Traffic alert in Chennai near unknown location. Cause: road_construction.,"['construction', 'work', 'causing', 'bottleneck', 'near', 'valluvar', 'kottam']",1
Chennai,Overflow parking issues causing traffic on the approach road to DakshinaChitra Museum.,overflow parking issues causing traffic approach road dakshinachitra museum,,other,Traffic alert in Chennai near unknown location. Cause: other.,"['overflow', 'parking', 'issues', 'causing', 'traffic', 'approach', 'road', 'dakshinachitra', 'museum']",2
Chennai,Weekend crowd leading to delays on the main road near Edward Elliot's Beach.,weekend crowd leading delays main road near edward elliots beach,,other,Traffic alert in Chennai near unknown location. Cause: other.,"['weekend', 'crowd', 'leading', 'delays', 'main', 'road', 'near', 'edward', 'elliots', 'beach']",1
Chennai,Pilgrimage season causing gridlock near Velankanni Shrine.,pilgrimage season causing gridlock near velankanni shrine,,other,Traffic alert in Chennai near unknown location. Cause: other.,"['pilgrimage', 'season', 'causing', 'gridlock', 'near', 'velankanni', 'shrine']",1
Chennai,Civic rally resulting in road closures near Ripon Building.,civic rally resulting road closures near ripon building,,other,Traffic alert in Chennai near unknown location. Cause: other.,"['civic', 'rally', 'resulting', 'road', 'closures', 'near', 'ripon', 'building']",0
Chennai,Surfing festival causing a spike in local traffic near Covelong Beach.,surfing festival causing spike local traffic near covelong beach,Covelong Beach,other,Traffic alert in Chennai near Covelong Beach. Cause: other.,"['surfing', 'festival', 'causing', 'spike', 'local', 'traffic', 'near', 'covelong', 'beach']",1
Kolkata,Photography exhibition leading to overcrowding near Victoria Memorial.,photography exhibition leading overcrowding near victoria memorial,,other,Traffic alert in Kolkata near unknown location. Cause: other.,"['photography', 'exhibition', 'leading', 'overcrowding', 'near', 'victoria', 'memorial']",2
Kolkata,Maintenance work on Howrah Bridge causing diversions.,maintenance work howrah bridge causing diversions,,other,Traffic alert in Kolkata near unknown location. Cause: other.,"['maintenance', 'work', 'howrah', 'bridge', 'causing', 'diversions']",2
Kolkata,Festival procession leading to traffic snarls at Dakshineswar Kali Temple.,festival procession leading traffic snarls dakshineswar kali temple,,other,Traffic alert in Kolkata near unknown location. Cause: other.,"['festival', 'procession', 'leading', 'traffic', 'snarls', 'dakshineswar', 'kali', 'temple']",1
Kolkata,Religious gathering causing slow-moving traffic near Belur Math.,religious gathering causing slowmoving traffic near belur math,,other,Traffic alert in Kolkata near unknown location. Cause: other.,"['religious', 'gathering', 'causing', 'slowmoving', 'traffic', 'near', 'belur', 'math']",2
Kolkata,Evening walkers and gatherings leading to congestion near Prinsep Ghat.,evening walkers gatherings leading congestion near prinsep ghat,,other,Traffic alert in Kolkata near unknown location. Cause: other.,"['evening', 'walkers', 'gatherings', 'leading', 'congestion', 'near', 'prinsep', 'ghat']",1
Kolkata,New year celebrations causing overcrowding at Eco Park.,new year celebrations causing overcrowding eco park,,other,Traffic alert in Kolkata near unknown location. Cause: other.,"['new', 'year', 'celebrations', 'causing', 'overcrowding', 'eco', 'park']",2
Kolkata,Restaurant rush hour causing congestion on weekends at Park Street.,restaurant rush hour causing congestion weekends park street,,other,Traffic alert in Kolkata near unknown location. Cause: other.,"['restaurant', 'rush', 'hour', 'causing', 'congestion', 'weekends', 'park', 'street']",0
Kolkata,Book festival leading to blocked entry roads near College Street.,book festival leading blocked entry roads near college street,,other,Traffic alert in Kolkata near unknown location. Cause: other.,"['book', 'festival', 'leading', 'blocked', 'entry', 'roads', 'near', 'college', 'street']",2
Kolkata,Idol-making season causing increased local traffic near Kumartuli.,idolmaking season causing increased local traffic near kumartuli,Kumartuli,other,Traffic alert in Kolkata near Kumartuli. Cause: other.,"['idolmaking', 'season', 'causing', 'increased', 'local', 'traffic', 'near', 'kumartuli']",2
Kolkata,Sports event causing traffic jams in surrounding areas of Salt Lake Stadium.,sports event causing traffic jams surrounding areas salt lake stadium,Salt Lake Stadium,other,Traffic alert in Kolkata near Salt Lake Stadium. Cause: other.,"['sports', 'event', 'causing', 'traffic', 'jams', 'surrounding', 'areas', 'salt', 'lake', 'stadium']",2
